,pct_renter_occupied,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,renter_occupied_households,median_household_income,median_property_value,label_value,score
1538,med-high,med-high,low,low,low,low,low,med-high,low,low,med-low,low,0,0.011518066952384977
1560,high,high,low,low,low,low,low,low,low,low,low,med-low,0,0.00039233430999192925
1568,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.026375398331091184
1581,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.005166949203321523
1594,med-high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.006894648606652306
1601,med-low,high,low,low,low,low,low,low,low,low,low,med-low,0,0.010431417941458623
1607,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.007905851113905548
1619,med-high,med-high,low,low,med-low,low,low,low,low,low,med-low,low,0,0.001871882394452958
1623,low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.009420596049889025
1629,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.007160014092128023
1636,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.007271417639234613
1644,med-low,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.0050493752792167826
1649,high,high,low,low,low,low,low,low,low,low,med-low,med-high,0,0.005827216719091752
1664,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.005243469820828724
1674,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.0051759633901732535
1685,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.010228415851215452
1696,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.005077990390607927
1706,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.002019379104244391
1714,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.0060817085872777454
1719,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.017135829259643572
1727,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.017942504639435537
1735,med-low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.0010844301217479402
1752,med-low,med-high,low,low,low,low,low,med-low,low,low,med-low,low,0,0.06685516347725856
1761,med-low,med-high,low,med-low,low,low,low,low,low,low,med-low,low,0,0.0845223100934874
1768,med-low,high,low,low,low,low,low,low,low,low,med-low,med-high,0,0.015068279386478041
1784,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.028827382206237977
1790,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.005243469820828724
1797,med-high,med-high,low,med-low,low,low,low,low,low,low,low,med-low,0,0.0066720412494001525
1806,med-low,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.012101971205955648
1814,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.00015560905847037914
1820,med-high,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.028757688463699447
1828,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.015202946831791695
1836,med-low,high,low,low,low,low,low,low,low,low,med-high,low,0,0.011410738946153472
1850,med-high,high,low,low,low,low,low,low,low,low,med-low,low,1,0.13625514330735586
1859,low,low,low,low,low,low,low,low,low,low,low,low,0,0.23017792813247356
1866,med-low,high,low,low,low,low,low,low,low,med-low,med-low,low,1,0.4655886774474236
1875,high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.32717219046040613
1892,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.13837087789913316
1901,med-high,high,low,low,low,low,low,low,low,med-high,low,low,0,0.3759154312952164
1909,high,med-low,med-low,low,med-low,low,low,med-low,low,low,low,low,0,0.2218621521884055
1920,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.2224263920095714
1928,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.01757006059336365
1935,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.0008629025749062747
1945,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.0040676449382509375
1954,high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.08362691403550727
1962,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.02142693875039314
