,pct_renter_occupied,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,renter_occupied_households,median_household_income,median_property_value,label_value,score
1619,med-high,med-high,low,low,med-low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1623,low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1629,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1636,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1644,med-low,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1649,high,high,low,low,low,low,low,low,low,low,med-low,med-high,0,0.014148463266574256
1664,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1674,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1685,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1696,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1706,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1714,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1719,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1727,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1735,med-low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.014148463266574256
1752,med-low,med-high,low,low,low,low,low,med-low,low,low,med-low,low,0,0.014148463266574256
1761,med-low,med-high,low,med-low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1768,med-low,high,low,low,low,low,low,low,low,low,med-low,med-high,0,0.014148463266574256
1784,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
1790,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
1797,med-high,med-high,low,med-low,low,low,low,low,low,low,low,med-low,0,0.014148463266574256
1806,med-low,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1814,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1820,med-high,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1828,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1836,med-low,high,low,low,low,low,low,low,low,low,med-high,low,0,0.014148463266574256
1850,med-high,high,low,low,low,low,low,low,low,low,med-low,low,1,0.11822822328338548
1859,low,low,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
1866,med-low,high,low,low,low,low,low,low,low,med-low,med-low,low,1,0.5587188612099644
1875,high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.32599837000814996
1892,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
1901,med-high,high,low,low,low,low,low,low,low,med-high,low,low,0,0.32599837000814996
1909,high,med-low,med-low,low,med-low,low,low,med-low,low,low,low,low,0,0.11822822328338548
1920,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.3495702005730659
1928,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1935,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.014148463266574256
1945,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.014148463266574256
1954,high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
1962,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1971,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
1980,med-high,med-high,low,low,low,med-low,low,low,low,low,low,low,0,0.014148463266574256
1989,high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
1997,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
2005,high,high,low,low,low,low,low,low,low,med-low,low,low,0,0.11822822328338548
2025,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.3495702005730659
2030,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
2046,high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2054,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.11822822328338548
2063,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2066,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2073,med-high,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.014148463266574256
2081,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
2088,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.5587188612099644
2102,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
2110,med-low,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
2120,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2130,med-low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.014148463266574256
2146,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
2153,med-high,high,low,low,low,low,low,low,low,low,med-high,low,0,0.014148463266574256
2162,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
2173,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2190,med-high,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
2206,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2220,high,high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
2226,low,high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
2231,high,high,low,low,low,low,low,low,low,med-low,low,low,0,0.17674691720493246
2241,med-low,high,low,low,low,low,low,low,low,low,med-low,low,1,0.3495702005730659
2247,med-high,med-high,low,low,low,med-low,low,low,low,low,low,low,0,0.014148463266574256
2256,high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.11822822328338548
2265,med-high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.11822822328338548
2275,high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.014148463266574256
2290,med-low,med-high,low,low,low,low,low,low,low,med-low,med-low,low,1,0.3495702005730659
2297,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2305,high,high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
2313,high,high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
2318,high,high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
2328,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2341,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
2357,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2366,high,high,low,low,low,low,low,low,low,med-low,low,low,0,0.11822822328338548
2374,high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.11822822328338548
2382,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2391,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2405,high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.014148463266574256
2418,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2427,high,high,low,low,low,low,low,low,low,low,low,med-low,0,0.014148463266574256
2435,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.17674691720493246
2443,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2453,high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
2466,med-low,high,low,low,low,low,low,low,low,low,med-high,low,0,0.014148463266574256
2492,low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.014148463266574256
2498,med-low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.014148463266574256
2506,med-low,med-high,low,low,low,low,low,low,low,low,med-high,low,0,0.014148463266574256
2512,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.32599837000814996
2526,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
2533,med-low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.014148463266574256
2541,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
2566,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.11822822328338548
2572,high,high,low,low,low,low,low,low,low,low,low,med-low,0,0.014148463266574256
2577,med-high,med-high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.11822822328338548
2585,high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.014148463266574256
2594,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2611,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.11822822328338548
2626,med-high,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
2633,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2642,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2651,med-low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.11822822328338548
