year,state,county,region,division,total_bldg,total_units,total_value
2000,17,105,2,3,86,95,9136623
2000,17,107,2,3,26,27,2547597
2000,17,109,2,3,33,152,7958000
2000,17,111,2,3,3312,3522,473429986
2000,17,113,2,3,682,909,78741698
2000,17,115,2,3,247,361,38744554
2000,17,117,2,3,53,59,5473961
2000,17,119,2,3,963,1165,136640733
2000,17,121,2,3,16,17,1157146
2000,17,123,2,3,17,17,1717382
2000,17,125,2,3,15,15,1368857
2000,17,127,2,3,5,5,412488
2000,17,129,2,3,79,79,9027669
2000,17,131,2,3,40,41,4211637
2000,17,133,2,3,260,268,38212333
2000,17,135,2,3,17,17,1561140
2000,17,137,2,3,18,22,2004959
2000,17,139,2,3,46,47,4738773
2000,17,141,2,3,207,207,24677812
2000,17,143,2,3,641,938,88417915
2000,17,147,2,3,69,69,9951005
2000,17,149,2,3,46,46,2955444
2000,17,151,2,3,2,2,185000
2000,17,153,2,3,3,3,140000
2000,17,155,2,3,40,40,4001750
2000,17,157,2,3,55,64,5686085
2000,17,159,2,3,16,45,4518743
2000,17,161,2,3,212,220,32130169
2000,17,163,2,3,937,1102,122791729
2000,17,165,2,3,0,0,0
2000,17,167,2,3,748,850,86628541
2000,17,171,2,3,0,0,0
2000,17,173,2,3,54,60,5950604
2000,17,175,2,3,17,17,1609000
2000,17,177,2,3,89,141,16316082
2000,17,179,2,3,408,445,57555637
2000,17,181,2,3,48,48,4443739
2000,17,183,2,3,67,70,6587232
2000,17,185,2,3,13,13,1567000
2000,17,187,2,3,38,38,3871808
2000,17,189,2,3,68,71,7437779
2000,17,191,2,3,9,54,2544000
2000,17,193,2,3,2,2,216346
2000,17,195,2,3,130,136,16523365
2000,17,197,2,3,6548,7159,838314143
2000,17,199,2,3,139,145,14226710
2000,17,201,2,3,1088,1263,92527766
2000,17,203,2,3,168,181,20455846
2000,18,1,2,3,107,121,11564737
2000,18,3,2,3,1689,1791,272686785
2000,18,5,2,3,211,212,29613757
2000,18,7,2,3,27,28,1545000
2000,18,9,2,3,34,96,5661371
2000,18,11,2,3,428,678,96430196
2000,18,13,2,3,138,140,8183801
2000,18,15,2,3,92,92,6525244
2000,18,17,2,3,87,87,10225162
2000,18,19,2,3,745,793,77341716
2000,18,21,2,3,60,62,4367735
2000,18,23,2,3,75,77,8672521
2000,18,25,2,3,6,6,425000
2000,18,27,2,3,22,22,4137455
2000,18,29,2,3,352,374,44773944
2000,18,31,2,3,100,100,10887017
2000,18,33,2,3,191,192,24663698
2000,18,35,2,3,280,402,51957189
2000,18,37,2,3,218,250,31302155
2000,18,39,2,3,932,1296,125683943
2000,18,41,2,3,88,88,6248500
2000,18,43,2,3,359,425,55055745
2000,18,45,2,3,8,8,1041500
2000,18,47,2,3,88,88,11600625
2000,18,49,2,3,32,32,3535537
2000,18,51,2,3,25,179,8234485
2000,18,53,2,3,221,237,21549081
2000,18,55,2,3,0,0,0
2000,18,57,2,3,3594,4282,649859069
2000,18,59,2,3,627,699,89928803
2000,18,61,2,3,204,204,26270577
