,attribute_name,attribute_value,k,model_id,score_threshold,tpr,tnr,for,fdr,fpr,fnr,npv,precision,pp,pn,ppr,pprev,fp,fn,tn,tp,group_label_neg,group_label_pos,group_size,total_entities,prev,ppr_disparity,pprev_disparity,precision_disparity,fdr_disparity,for_disparity,fpr_disparity,fnr_disparity,tpr_disparity,tnr_disparity,npv_disparity,ppr_ref_group_value,pprev_ref_group_value,precision_ref_group_value,fdr_ref_group_value,for_ref_group_value,fpr_ref_group_value,fnr_ref_group_value,tpr_ref_group_value,tnr_ref_group_value,npv_ref_group_value,Statistical Parity,Impact Parity,FDR Parity,FPR Parity,FOR Parity,FNR Parity,TPR Parity,TNR Parity,NPV Parity,Precision Parity,TypeI Parity,TypeII Parity,Equalized Odds,Unsupervised Fairness,Supervised Fairness
18,pct_am_ind_bins,med-high,1000,1,1000.0_abs,,,0.0,,,,0.0,,0,2,0.0,0.0,0,0,0,0,0,0,2,6762,0.0,,,,,,,,,,,high,high,high,high,high,high,high,high,high,high,,,,,,,,,,,,,,,
19,pct_am_ind_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,2,3,0.002,0.4,0,0,0,0,0,0,5,6762,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
20,pct_asian_bins,high,1000,1,1000.0_abs,,,0.0,,,,0.0,,0,3,0.0,0.0,0,0,0,0,0,0,3,6762,0.0,,,,,,,,,,,high,high,high,high,high,high,high,high,high,high,,,,,,,,,,,,,,,
21,pct_asian_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,987,5634,0.987,0.1490711372904395,0,0,0,0,0,0,6621,6762,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
22,pct_asian_bins,med-high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,2,16,0.002,0.1111111111111111,0,0,0,0,0,0,18,6762,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
23,pct_asian_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,11,109,0.011,0.09166666666666666,0,0,0,0,0,0,120,6762,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
24,pct_nh_pi_bins,high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,1,1,0.001,0.5,0,0,0,0,0,0,2,6762,0.0,1.0,1.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,True,True,,,,,,,,,,,,True,
25,pct_nh_pi_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,995,5746,0.995,0.14760421302477378,0,0,0,0,0,0,6741,6762,0.0,995.0,0.29520842604954756,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
26,pct_nh_pi_bins,med-high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,1,3,0.001,0.25,0,0,0,0,0,0,4,6762,0.0,1.0,0.5,,,,,,,,,high,high,high,high,high,high,high,high,high,high,True,False,,,,,,,,,,,,False,
27,pct_nh_pi_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,3,12,0.003,0.2,0,0,0,0,0,0,15,6762,0.0,3.0,0.4,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
28,pct_multiple_bins,high,1000,1,1000.0_abs,,,0.0,,,,0.0,,0,6,0.0,0.0,0,0,0,0,0,0,6,6762,0.0,,,,,,,,,,,high,high,high,high,high,high,high,high,high,high,,,,,,,,,,,,,,,
29,pct_multiple_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,963,5597,0.963,0.14679878048780487,0,0,0,0,0,0,6560,6762,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
30,pct_multiple_bins,med-high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,1,15,0.001,0.0625,0,0,0,0,0,0,16,6762,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
